TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
14:51:45,855,19829,0.7512905,0.6425574,20.18,,
14:51:50,860,19830,0.7509786,0.6425574,20.19,,
14:51:55,865,19831,0.7506686,0.6425574,20.2,,
14:52:00,870,19832,0.7506686,0.6425574,20.2,,
14:52:05,875,19833,0.7522262,0.6425574,20.14,,
14:52:10,880,19834,0.7509786,0.6425574,20.19,,
14:52:15,885,19835,0.7499859,0.6427723,20.23,,
14:52:20,890,19836,0.7506081,0.6427723,20.21,,
14:52:25,895,19837,0.7515417,0.6427723,20.18,,
14:52:30,900,19838,0.7509196,0.6427723,20.2,,
14:52:35,905,19839,0.7502968,0.6427723,20.22,,
14:52:40,910,19840,0.7524777,0.6427723,20.14,,
14:52:45,915,19841,0.7512217,0.6427696,20.19,,
14:52:50,920,19842,0.7512823,0.6425546,20.18,,
14:52:55,925,19843,0.7496671,0.6427696,20.25,,
14:53:00,930,19844,0.7512217,0.6427696,20.19,,
14:53:05,935,19845,0.7521561,0.6427696,20.15,,
14:53:10,940,19846,0.7509107,0.6427696,20.2,,
14:53:15,945,19847,0.750288,0.6427696,20.22,,
14:53:20,950,19848,0.7515337,0.6427696,20.18,,
14:53:25,955,19849,0.7515337,0.6427696,20.18,,
14:53:30,960,19850,0.7512217,0.6427696,20.19,,
14:53:35,965,19851,0.7509107,0.6427696,20.2,,
14:53:40,970,19852,0.7515337,0.6427696,20.18,,
14:53:45,975,19853,0.750288,0.6427696,20.22,,
14:53:50,980,19854,0.7514726,0.6429843,20.19,,
14:53:55,985,19855,0.7515337,0.6427696,20.18,,
14:54:00,990,19856,0.7505386,0.6429843,20.22,,
14:54:05,995,19857,0.750288,0.6427696,20.22,,
14:54:10,1000,19858,0.7512217,0.6427696,20.19,,
14:54:15,1005,19859,0.7514257,0.6429483,20.19,,
14:54:20,1010,19860,0.7520494,0.6429483,20.16,,
14:54:25,1015,19861,0.7523612,0.6429483,20.15,,
14:54:30,1020,19862,0.7508032,0.6429483,20.21,,
14:54:35,1025,19863,0.7514257,0.6429483,20.19,,
14:54:40,1030,19864,0.7501816,0.6429483,20.24,,
14:54:45,1035,19865,0.7514257,0.6429483,20.19,,
14:54:50,1040,19866,0.7508637,0.6427335,20.2,,
14:54:55,1045,19867,0.7511147,0.6429483,20.2,,
14:55:00,1050,19868,0.7504926,0.6429483,20.22,,
14:55:05,1055,19869,0.7526724,0.6429483,20.14,,
14:55:10,1060,19870,0.7514859,0.6427335,20.18,,
14:55:15,1065,19871,0.7511147,0.6429483,20.2,,
14:55:20,1070,19872,0.7523612,0.6429483,20.15,,
14:55:25,1075,19873,0.7523612,0.6429483,20.15,,
14:55:30,1080,19874,0.7523612,0.6429483,20.15,,
14:55:35,1085,19875,0.7523612,0.6429483,20.15,,
14:55:40,1090,19876,0.7517371,0.6429483,20.18,,
14:55:45,1095,19877,0.7513867,0.6429197,20.19,,
14:55:50,1100,19878,0.7510151,0.6431346,20.21,,
14:55:55,1105,19879,0.7516379,0.6431346,20.19,,
14:56:00,1110,19880,0.7519493,0.6431346,20.18,,
14:56:05,1115,19881,0.7526341,0.6429197,20.14,,
14:56:10,1120,19882,0.7500825,0.6431346,20.25,,
14:56:15,1125,19883,0.7519493,0.6431346,20.18,,
14:56:20,1130,19884,0.7519493,0.6431346,20.18,,
14:56:25,1135,19885,0.7515779,0.6433495,20.2,,
14:56:30,1140,19886,0.7518891,0.6433495,20.19,,
14:56:35,1145,19887,0.7512661,0.6433495,20.21,,
14:56:40,1150,19888,0.7522005,0.6433495,20.18,,
14:56:45,1155,19889,0.7525123,0.6433495,20.16,,
14:56:50,1160,19890,0.7515779,0.6433495,20.2,,
14:56:55,1165,19891,0.7512661,0.6433495,20.21,,
14:57:00,1170,19892,0.751829,0.6435645,20.2,,
14:57:05,1175,19893,0.7506441,0.6433495,20.24,,
14:57:10,1180,19894,0.7512661,0.6433495,20.21,,
14:57:15,1185,19895,0.7515779,0.6433495,20.2,,
14:57:20,1190,19896,0.7512327,0.6433264,20.21,,
14:57:25,1195,19897,0.7517949,0.6435416,20.2,,
14:57:30,1200,19898,0.7514232,0.6437564,20.22,,
14:57:35,1205,19899,0.7523583,0.6437564,20.19,,
14:57:40,1210,19900,0.7511125,0.6437564,20.24,,
14:57:45,1215,19901,0.752046,0.6437564,20.2,,
14:57:50,1220,19902,0.7517949,0.6435416,20.2,,
14:57:55,1225,19903,0.7524186,0.6435416,20.18,,
14:58:00,1230,19904,0.752107,0.6435416,20.19,,
14:58:05,1235,19905,0.7517349,0.6437564,20.21,,
14:58:10,1240,19906,0.7517349,0.6437564,20.21,,
14:58:15,1245,19907,0.7514232,0.6437564,20.22,,
14:58:20,1250,19908,0.7517349,0.6437564,20.21,,
14:58:25,1255,19909,0.7526699,0.6437564,20.18,,
14:58:30,1260,19910,0.7526699,0.6437564,20.18,,
14:58:35,1265,19911,0.7511125,0.6437564,20.24,,
14:58:40,1270,19912,0.753294,0.6437564,20.15,,
14:58:45,1275,19913,0.7523583,0.6437564,20.19,,
14:58:50,1280,19914,0.7528894,0.6439531,20.18,,
14:58:55,1285,19915,0.7517028,0.643738,20.21,,
14:59:00,1290,19916,0.7516423,0.6439531,20.22,,
14:59:05,1295,19917,0.7519541,0.6439531,20.21,,
14:59:10,1300,19918,0.7525166,0.6441683,20.2,,
14:59:15,1305,19919,0.7522653,0.6439531,20.2,,
14:59:20,1310,19920,0.7513316,0.6439531,20.24,,
14:59:25,1315,19921,0.7516423,0.6439531,20.22,,
14:59:30,1320,19922,0.7522053,0.6441683,20.21,,
14:59:35,1325,19923,0.7531408,0.6441683,20.18,,
14:59:40,1330,19924,0.7516423,0.6439531,20.22,,
14:59:45,1335,19925,0.7529497,0.643738,20.17,,
14:59:50,1340,19926,0.753827,0.6439531,20.14,,
14:59:55,1345,19927,0.7531408,0.6441683,20.18,,
15:00:00,1350,19928,0.7515825,0.6441683,20.24,,
15:00:05,1355,19929,0.7509601,0.6441683,20.26,,
15:00:10,1360,19930,0.7512711,0.6441683,20.25,,
15:00:15,1365,19931,0.7503986,0.6439531,20.27,,
15:00:20,1370,19932,0.7509601,0.6441683,20.26,,
15:00:25,1375,19933,0.7521528,0.6444023,20.22,,
15:00:30,1380,19934,0.7518411,0.6444023,20.24,,
15:00:35,1385,19935,0.7522128,0.6441871,20.21,,
15:00:40,1390,19936,0.7531484,0.6441871,20.18,,
15:00:45,1395,19937,0.7522128,0.6441871,20.21,,
15:00:50,1400,19938,0.7515901,0.6441871,20.24,,
15:00:55,1405,19939,0.7531484,0.6441871,20.18,,
15:01:00,1410,19940,0.7522128,0.6441871,20.21,,
15:01:05,1415,19941,0.7530879,0.6444023,20.19,,
15:01:10,1420,19942,0.7515901,0.6441871,20.24,,
15:01:15,1425,19943,0.752464,0.6444023,20.21,,
15:01:20,1430,19944,0.7521528,0.6444023,20.22,,
15:01:25,1435,19945,0.7522128,0.6441871,20.21,,
15:01:30,1440,19946,0.7515296,0.6444023,20.25,,
15:01:35,1445,19947,0.7515296,0.6444023,20.25,,
15:01:40,1450,19948,0.7527763,0.6444023,20.2,,
15:01:45,1455,19949,0.7521528,0.6444023,20.22,,
15:01:50,1460,19950,0.7509676,0.6441871,20.26,,
15:01:55,1465,19951,0.7527363,0.6443838,20.2,,
15:02:00,1470,19952,0.7524248,0.6443838,20.21,,
15:02:05,1475,19953,0.7508684,0.6443838,20.27,,
15:02:10,1480,19954,0.751802,0.6443838,20.24,,
15:02:15,1485,19955,0.7527363,0.6443838,20.2,,
15:02:20,1490,19956,0.7524248,0.6443838,20.21,,
15:02:25,1495,19957,0.7511801,0.6443838,20.26,,
15:02:30,1500,19958,0.751802,0.6443838,20.24,,
15:02:35,1505,19959,0.7521136,0.6443838,20.23,,
15:02:40,1510,19960,0.7524248,0.6443838,20.21,,
15:02:45,1515,19961,0.7514905,0.6443838,20.25,,
15:02:50,1520,19962,0.7521136,0.6443838,20.23,,
15:02:55,1525,19963,0.7521136,0.6443838,20.23,,
15:03:00,1530,19964,0.7530487,0.6443838,20.19,,
15:03:05,1535,19965,0.7527363,0.6443838,20.2,,
15:03:10,1540,19966,0.7523646,0.6445988,20.23,,
15:03:15,1545,19967,0.751802,0.6443838,20.24,,
15:03:20,1550,19968,0.7524248,0.6443838,20.21,,
15:03:25,1555,19969,0.7514524,0.6443691,20.25,,
