Time,Run_time,Cond_cor
13:42:00,2475,970.0118
13:42:05,2480,969.7573
13:42:10,2485,967.9421
13:42:15,2490,966.3831
13:42:20,2495,965.5259
13:42:25,2500,965.7793
13:42:30,2505,966.2568
13:42:35,2510,965.9065
13:42:40,2515,966.5104
13:42:45,2520,966.5104
13:42:50,2525,966.5104
13:42:55,2530,966.5104
13:43:00,2535,966.5104
13:43:05,2540,965.9065
13:43:10,2545,965.9065
13:43:15,2550,966.5104
13:43:20,2555,965.9065
13:43:25,2560,965.9065
13:43:30,2565,965.9065
13:43:35,2570,963.4939
13:43:40,2575,962.8912
13:43:45,2580,962.2891
13:43:50,2585,962.8912
13:43:55,2590,962.8912
13:44:00,2595,962.8912
13:44:05,2600,962.8912
13:44:10,2605,961.3961
13:44:15,2610,961.9979
13:44:20,2615,961.3961
13:44:25,2620,961.3961
13:44:30,2625,961.3961
13:44:35,2630,961.3961
13:44:40,2635,960.7945
13:44:45,2640,961.3961
13:44:50,2645,960.7945
13:44:55,2650,960.1934
13:45:00,2655,960.7945
13:45:05,2660,960.1934
13:45:10,2665,960.1934
13:45:15,2670,960.1934
13:45:20,2675,960.7945
13:45:25,2680,11.25823
13:45:30,2685,10.55864
13:45:35,2690,7.132913
13:45:40,2695,10.69006
13:45:45,2700,2.469935
13:45:50,2705,2.155706
13:45:55,2710,10.79296
13:46:00,2715,12.16926
13:46:05,2720,3.053179
13:46:10,2725,1.532938
13:46:15,2730,0.6895132
13:46:20,2735,0.2025647
13:46:25,2740,0.1203594
13:46:30,2745,-0.2038922
13:46:35,2750,0.4268503
13:46:40,2755,0.1142621
13:46:45,2760,1.841125
13:46:50,2765,0.2985249
13:46:55,2770,-0.1521425
13:47:00,2775,-0.1459327
13:47:05,2780,-0.1409593
13:47:10,2785,0.2166781
13:47:15,2790,1.782261
13:47:20,2795,2.64116
13:47:25,2800,3.407173
13:47:30,2805,3.66899
13:47:35,2810,4.101776
13:47:40,2815,4.163584
13:47:45,2820,5.006448
13:47:50,2825,4.585267
13:47:55,2830,6.156344
13:48:00,2835,12.55899
13:48:05,2840,12.97974
13:48:10,2845,16.81775
13:48:15,2850,13.60747
13:48:20,2855,13.87422
13:48:25,2860,4.161264
13:48:30,2865,8.004608
13:48:35,2870,4.263383
13:48:40,2875,4.840477
13:48:45,2880,10.75317
13:48:50,2885,7.320632
13:48:55,2890,6.903907
13:49:00,2895,6.208094
13:49:05,2900,7.658189
13:49:10,2905,8.163193
13:49:15,2910,5.959638
13:49:20,2915,17.05397
13:49:25,2920,7.922163
13:49:30,2925,13.26005
13:49:35,2930,990.3606
13:49:40,2935,982.6325
13:49:45,2940,978.8237
13:49:50,2945,977.1219
13:49:55,2950,974.715
13:50:00,2955,973.4349
13:50:05,2960,972.1574
13:50:10,2965,971.7446
13:50:15,2970,971.2343
13:50:20,2975,970.4702
13:50:25,2980,970.3127
13:50:30,2985,969.8029
13:50:35,2990,969.9007
13:50:40,2995,968.7855
13:50:45,3000,968.2765
13:50:50,3005,967.9406
13:50:55,3010,967.4333
13:51:00,3015,967.4333
13:51:05,3020,966.9257
13:51:10,3025,966.6722
13:51:15,3030,967.0238
13:51:20,3035,966.517
13:51:25,3040,966.517
13:51:30,3045,966.0093
13:51:35,3050,966.0093
13:51:40,3055,965.7564
13:51:45,3060,965.5023
13:51:50,3065,965.2496
13:51:55,3070,964.9963
13:52:00,3075,964.9963
13:52:05,3080,963.8876
13:52:10,3085,964.491
13:52:15,3090,964.2382
13:52:20,3095,963.6349
13:52:25,3100,964.2382
13:52:30,3105,964.1343
13:52:35,3110,963.5308
13:52:40,3115,963.2783
13:52:45,3120,963.2783
13:52:50,3125,963.026
13:52:55,3130,963.026
13:53:00,3135,963.3762
13:53:05,3140,963.3762
13:53:10,3145,963.1246
13:53:15,3150,962.8719
13:53:20,3155,962.8719
13:53:25,3160,962.8719
13:53:30,3165,962.8719
13:53:35,3170,962.8719
13:53:40,3175,962.6193
13:53:45,3180,962.3668
13:53:50,3185,962.3668
13:53:55,3190,962.3668
13:54:00,3195,962.3668
13:54:05,3200,962.3668
13:54:10,3205,962.2452
13:54:15,3210,962.2452
13:54:20,3215,961.9929
13:54:25,3220,962.595
13:54:30,3225,962.595
13:54:35,3230,962.595
13:54:40,3235,962.595
13:54:45,3240,962.595
13:54:50,3245,962.595
13:54:55,3250,962.595
13:55:00,3255,962.595
13:55:05,3260,962.595
13:55:10,3265,962.595
13:55:15,3270,962.0905
13:55:20,3275,962.0905
13:55:25,3280,961.7407
13:55:30,3285,962.0905
